Data_Hora_Recepcao;idBIoT;timestamp;inside;outside;erro
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:415;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:461;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:507;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:553;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:600;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:645;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:692;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:738;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:785;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:831;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:877;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:922;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:51:969;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:014;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:061;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:108;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:154;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:201;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:247;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:294;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:340;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:387;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:433;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:479;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:526;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:572;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:619;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:665;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:712;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:758;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:805;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:851;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:896;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:942;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:52:988;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:035;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:080;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:127;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:171;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:215;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:261;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:307;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:353;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:396;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:440;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:487;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:534;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:580;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:627;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:672;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:718;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:764;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:810;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:857;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:902;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:949;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:53:995;4;197;0
